cd,periodo,folio,entidad,control,viv_sel,num_hog,hog_mud,n_ren_ele,p1_1,p1_2,p1_3,p1_4,p1_5,p2_1,p2_2,p2_3,p2_4,p2_5,p3_1_1,p3_1_2,p3_1_3,p3_1_4,p3_1_5,p3_1_6,p3_1_7,p3_1_8,p3_1_8A,p3_1_9,p3_2_1,p3_2_2,p3_2_3,p3_2_4,p3_2_5,p3_2_6,p3_2_7,p3_2_8,p3_2_8A,p3_2_9,p3_3_1,p3_3_2,p3_3_3,p3_3_4,p3_3_5,p3_3_6,p3_3_7,p3_3_8,p3_3_8A,p3_3_9,p3_4_1,p3_4_2,p3_4_3,p3_4_4,p3_4_5,p3_4_6,p3_4_7,p3_4_8,p3_4_8A,p3_4_9,p3_5_1,p3_5_2,p3_5_3,p3_5_4,p3_5_5,p3_5_6,p3_5_7,p3_5_8,p3_5_8A,p3_5_9,p4_1,p4_2,p4_3,p4_4,p4_5,p5_1,p5_2,p5_3,p5_4,p5_5,p6_1,p6_2,p6_3,p6_4,p6_5,p7,p8_1,p8_2,p8_3,p8_4,p8_5,p9M,p9M_A,p10,p11_1,p11_2,p11_3,p11_4,p11_5,factor,edad,sexo,nivel,anio
27,0518,11A172,18,40138,3,1,0,01,0,1,1,0,1,1,1,1,1,1,2,2,2,2,2,1,2,2, ,2,2,2,2,2,2,2,1,2, ,2,2,2,2,2,1,1,1,2, ,2,2,2,2,2,1,1,1,2, ,2,2,2,2,2,1,2,2,2, ,2,100,100,50,30,40,3,3,3,3,2,1,1,1,9,2,1,1,1,1,1,2,4, ,1,1,1,2,1,1,17244,54,1,06,3
27,0518,11A172,18,40138,2,1,0,02,0,0,0,0,0,1,1,2,2,1,2,2,2,2,2,1,2,2, ,2,2,2,2,2,2,1,1,2, ,2,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,1,2,2,2,2,2,1,2, ,2,0,0,0,0,0,4,4,4,4,4,2,2,2,2,2,1,2,2,2,2,2,4, ,1,2,2,2,2,1,13678,44,2,03,3
27,0518,11A172,18,40138,4,1,0,04,1,1,1,2,1,1,1,1,1,1,2,2,1,2,2,1,2,2, ,2,2,2,1,2,1,1,1,2, ,2,1,2,2,1,2,2,2,2, ,2,1,2,2,1,2,2,1,2, ,2,1,2,2,2,1,2,1,2, ,2,50,200,50,50,60,4,3,3,3,3,9,2,1,2,1,1,1,1,1,2,2,4, ,1,1,2,2,2,1,38836,19,1,06,1
27,0518,12A175,18,40144,2,1,0,02,3,3,3,0,0,1,1,1,1,1,2,2,1,1,1,1,2,2, ,2,2,2,2,1,1,1,2,2, ,2,2,2,2,1,1,1,2,2, ,2,2,2,2,2,2,1,2,2, ,2,2,2,2,2,2,1,2,2, ,2,200,50,50,50,30,1,1,2,1,3,1,1,1,2,1,1,1,1,1,1,1,4, ,1,1,2,2,1,1,10576,58,1,07,4
27,0518,12A175,18,40144,4,1,0,02,0,0,0,0,2,1,1,1,1,1,2,2,1,2,2,2,2,2, ,2,2,2,2,2,2,2,1,2, ,2,2,2,1,2,2,2,2,2, ,2,2,2,2,2,2,2,1,2, ,2,2,2,2,2,2,2,1,2, ,2,100,150,100,0,35,2,3,2,3,2,2,2,2,2,2,1,2,2,2,2,2,2, ,1,1,1,1,1,1,17395,53,2,04,3
27,0518,12A175,18,40144,3,1,0,01,0,0,0,0,0,1,1,1,1,1,2,2,1,2,2,2,2,2, ,2,1,2,1,2,2,1,2,1,PERIFONEO,2,2,2,1,2,1,2,2,2, ,2,2,2,2,2,2,1,2,2, ,2,2,2,2,2,1,2,2,2, ,2,100,150,200,150,50,2,3,2,3,2,2,2,2,2,2,1,2,9,2,2,2,3, ,1,1,2,2,2,1,7196,34,1,03,3
27,0518,12A175,18,40144,1,1,0,01,1,0,0,0,1,1,1,1,1,1,2,2,2,2,1,1,1,2, ,2,2,1,1,2,1,1,1,2, ,2,2,1,1,2,1,1,1,2, ,2,2,2,2,2,1,1,1,2, ,2,2,2,2,2,1,1,1,2, ,2,100,100,100,50,50,1,1,1,1,1,9,2,2,2,9,2,0,0,0,0,0,1, ,1,1,1,2,1,1,20094,88,2,00, 
27,0518,12B157,18,40177,2,1,0,01,0,0,0,0,1,1,1,2,2,1,2,2,2,1,2,2,2,2, ,2,2,2,2,2,2,1,2,2, ,2,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,2,2, ,1,1,2,2,2,2,2,1,2, ,2,100,0,0,0,70,1,4,3,4,2,2,2,2,2,2,1,2,2,2,2,9,3, ,1,1,2,1,1,1,6785,31,2,07,4
27,0518,12B157,18,40177,4,1,0,02,0,0,0,0,0,1,1,1,1,1,2,2,1,2,2,1,2,2, ,2,2,2,1,2,2,1,2,2, ,2,2,2,2,2,2,1,2,2, ,2,2,2,1,2,2,1,2,2, ,2,2,2,2,2,2,1,2,2, ,2,100,100,60,60,80,2,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,2, ,2,0,0,0,0,0,14254,37,1,03,3
27,0518,12B157,18,40177,1,1,0,01,0,0,1,1,0,1,1,1,1,1,2,2,1,1,2,2,2,2, ,2,2,2,1,2,1,2,2,2, ,2,1,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2, ,1,2,2,2,2,2,2,1,2, ,2,0,0,0,100,50,1,1,2,2,3,2,2,2,2,2,1,1,1,1,1,1,2, ,1,1,2,1,1,1,14880,45,1,04,3
