upm,viv_sel,hogar,n_ren,pmvi_1,pmvi_2,pmvi_3,pm1_1,pm1_2,pm1_3,pm1_4,pm1_5_1,pm1_5_2,pm1_5_3,pm1_5_4,pm1_6_1,pm1_6_2,pm1_6_3,pm1_6_4,pm1_6_5,pm1_6_6,pm1_6_7,pm1_6_8,pm1_6_9,pm8_1_1,pm8_1_2,pm8_1_3,pm8_1_4,pm8_1_5,pm8_1_6,pm8_1_7,pm8_2,pm8_3,pm8_4_1,pm8_5_1_1,pm8_5_1_4,pm8_5_1_5,pm8_5_1_6,pm8_4_2,pm8_5_2_1,pm8_5_2_4,pm8_5_2_5,pm8_5_2_6,pm8_4_3,pm8_5_3_1,pm8_5_3_4,pm8_5_3_5,pm8_5_3_6,pm8_4_4,pm8_5_4_1,pm8_5_4_4,pm8_5_4_5,pm8_5_4_6,pm8_4_5,pm8_5_5_1,pm8_5_5_4,pm8_5_5_5,pm8_5_5_6,pm8_6_01,pm8_6_02,pm8_6_03,pm8_6_04,pm8_6_05,pm8_6_06,pm8_6_07,pm8_6_08,pm8_6_09,pm8_6_10,pm8_7_1,pm8_7_2,pm8_7_3,pm8_7_4,pm8_7_5,pm8_7_6,pm8_7_7,pm8_7_8,factor_per,upm_dis,est_dis,tloc,estrato,ent,sexo,edad
206879,2,1,1,,,,2,7,6,1,1,2,1,2,0,0,0,0,1,0,0,0,0,2,2,2,2,,2,3,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1851,354,10,1,3,2,1,69
206879,2,1,2,1,2,,2,5,7,2,2,2,1,1,0,0,1,0,0,0,0,0,0,2,2,2,3,,2,3,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2048,354,10,1,3,2,2,66
207352,5,1,2,1,1,,3,5,5,1,2,2,1,2,0,0,1,0,0,0,0,0,0,2,2,2,2,,2,2,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,1084,360,21,2,2,2,2,39
207352,5,1,3,,,,2,4,2,1,1,2,1,1,0,0,0,0,0,0,0,1,0,2,2,2,2,,2,2,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,980,360,21,2,2,2,1,64
207352,18,1,1,1,2,,4,3,4,2,2,2,1,2,0,0,0,0,1,0,0,0,0,2,1,2,3,,3,3,5,3,2,,,,,2,,,,,1,2,1,,2,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1098,360,21,2,2,2,1,62
207630,2,1,1,1,2,,2,1,1,1,1,1,1,2,0,0,0,0,0,1,0,0,0,2,2,2,2,,2,2,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1896,363,21,2,3,2,1,85
207630,18,1,3,1,2,,2,1,1,1,1,1,1,2,0,0,0,0,0,1,0,0,0,1,3,2,3,,2,3,5,1,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1896,363,21,2,3,2,1,47
207774,1,1,1,1,2,,1,2,1,1,1,2,2,2,0,0,0,0,0,1,0,0,0,2,2,2,2,,2,2,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,811,364,17,3,2,2,1,36
207774,2,1,2,1,2,,1,5,1,1,1,1,1,2,0,0,0,0,0,0,0,1,0,2,2,2,2,2,2,2,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,693,364,17,3,2,2,1,32
207924,4,1,3,1,2,,2,4,1,1,2,2,1,2,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,5,6,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2675,365,21,3,2,2,1,35
260118,4,1,2,1,2,,4,7,5,1,2,2,2,2,0,0,0,0,1,0,0,0,0,2,2,2,2,2,2,2,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,951,369,20,4,1,2,2,31
260118,8,1,1,,,,1,4,5,1,1,2,2,1,0,0,0,0,0,0,0,1,0,2,2,2,2,,2,3,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,860,369,20,4,1,2,1,69
260118,8,1,2,,,,3,2,5,1,1,2,2,9,0,0,0,0,0,0,0,1,0,2,2,2,2,2,2,3,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,1,2,2,2,2,1,2,3,2,2,2,2,2,3,2,860,369,20,4,1,2,2,35
260118,10,1,2,,,,1,3,6,1,1,1,1,1,0,0,0,0,1,0,0,0,0,2,2,2,2,2,2,2,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,625,369,20,4,1,2,2,18
260118,11,1,1,1,2,,9,1,2,1,1,9,1,1,0,0,0,0,0,0,0,1,0,2,2,3,3,,2,3,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,691,369,20,4,1,2,1,45
260118,11,1,2,1,1,,1,5,1,9,1,1,2,2,0,0,0,0,0,0,0,1,0,2,2,2,2,2,2,3,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,691,369,20,4,1,2,2,34
260118,11,1,3,1,1,,3,5,1,1,2,1,1,2,0,0,0,0,0,0,0,1,0,2,3,2,3,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,691,369,20,4,1,2,2,14
260118,16,1,1,,,,4,6,1,1,2,2,2,2,0,0,0,0,0,0,0,1,0,2,2,2,2,2,2,3,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,860,369,20,4,1,2,2,32
260118,17,1,1,,,,3,6,4,1,1,2,1,2,0,0,0,0,0,1,0,0,0,2,2,2,2,2,2,2,,,2,,,,,2,,,,,1,2,2,,1,1,2,2,,1,2,,,,,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,10115,369,20,4,1,2,1,29
260118,17,1,2,1,2,,3,6,4,1,1,1,1,2,0,0,0,1,0,0,0,0,0,2,2,2,2,2,2,2,,,2,,,,,1,1,2,2,2,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,11188,369,20,4,1,2,2,24
260118,19,1,1,,,,3,2,1,1,1,1,2,2,0,0,0,0,0,0,0,1,0,1,2,2,2,2,2,2,5,3,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,860,369,20,4,1,2,1,29
260118,20,1,2,,,,1,7,5,1,1,1,1,1,0,0,0,0,1,0,0,0,0,2,2,2,1,2,2,2,5,3,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,625,369,20,4,1,2,2,32
300058,2,1,1,1,2,,4,6,4,2,2,2,1,2,0,0,0,0,0,0,0,0,1,2,2,2,3,,1,3,5,3,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,129,379,23,1,3,3,1,41
